"Age" "Resident" "Attitude.Reduce.Bill" "Attitude.Environment" "Bedroom" "Education" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121"
"1248" 4 4 1 2 4 5 51.965 55.688 53.32 60.079 59.227 64.092 65.3 50.728 58.226 56.924 62.525 53.196 52.555 63.408 65.242 83.3 62.936 61.757 68.027 64.712 71.848 55.606 68.847 63.994 59.334 53.573 65.208 74.959 60.802 61.685 63.508 71.34 74.274 71.195 75.145 75.072 72.8 79.068 77.771 90.219 93.586 95.613 83.998 99.237 72.136 76.424 86.931 46.242 42.636 44.099 46.049 48.799 44.686 48.88 42.263 41.647 43.482 45.391 42.979 45.191 38.817 41.993 44.386 43.357 39.277 43.005 40.695 45.418 41.984 42.803 40.551 40.204 41.522 39.144 39.744 41.844 43.857 51.768 39.675 39.746 40.633 42.647 41.301 42.974 38.976 44.056 39.665 41.623 44.688 47.762 43.668 37.948 41.966 40.537 44.124 41.283 42.447 41.273 41.671 45.065 43.933 43.3 43.05 40.748 39.798 40.402 46.147 38.321 44.203 45.506 44.679 40.788 42.462 46.426 42.724 44.931 39.203 40.014 38.528 41.187 40.213
"1270" 4 3 1 1 2 4 16.472 24.312 18.387 30.604 22.69 25.192 25.41 17.957 20.27 20.335 20.242 23.931 26.959 23.782 34.185 28.96 28.388 30.411 25.947 24.437 26.103 21.85 27.918 25.367 17.706 25.415 36.465 26.699 31.862 31.405 34.211 34.012 25.777 21.821 23.14 21.255 27.477 28.901 21.727 29.826 30.287 20.185 27.586 34.548 22.815 29.422 25.972 21.415 24.395 25.474 20.413 20.345 20.508 20.053 22.21 21.475 17.717 19.289 22.4 19.879 19.913 21.533 24.048 20.212 20.292 19.846 19.146 20.042 21.515 20.531 20.494 23.094 17.949 23.226 23.478 17.459 23.368 19.879 23.565 20.296 19.385 18.037 21.407 19.456 18.801 21.775 22.709 16.815 19.866 17.03 16.635 20.508 18.157 17.067 21.861 19.174 17.715 17.624 22.248 16.866 17.898 18.809 17.777 17.11 17.552 19.814 22.044 23.075 18.633 16.722 18.003 17.795 18.488 17.229 17.094 17.173 21.521 18.117 21.181 16.682 18.06
"1311" 5 4 1 1 5 5 80.166 61.743 33.554 53.273 49.948 43.144 53.655 58.111 85.165 59.743 76.765 53.218 55.032 58.362 55.064 93.997 100.753 73.88 62.045 56.651 74.162 60.972 62.887 62.197 56.556 78.913 85.238 92.766 68.244 71.063 59.73 65.924 75.571 73.016 75.267 119.558 66.141 99.311 109.102 115.664 189.165 202.541 140.127 95.229 64.955 50.279 51.954 82.655 74.038 70.32 83.853 61.603 53.218 73.325 56.088 82.228 75.207 43.976 57.621 53.474 48.5 47.305 49.733 49.76 47.285 54.709 49.719 51.142 45.547 51.478 62.194 55.441 48.208 52.062 51.292 50.808 43.597 46.088 59.054 53.132 50.263 42.23 53.774 52.603 52.723 47.828 53.492 42.42 50.184 48.607 50.652 44.846 46.808 56.737 49.148 58.174 45.073 43.857 50.323 53.105 42.65 50.113 52.781 55.634 55.632 49.677 49.394 43.969 50.186 44.254 49.949 48.056 45.115 49.627 42.466 41.75 42.09 44.129 49.768 47.985 43.974
"1323" 5 2 2 2 4 5 31.901 33.82 28.644 36.521 35.608 27.808 35.829 24.639 34.875 33.628 28.249 35.191 29.889 34.301 22.961 38.029 31.732 35.27 45.856 35.216 35.945 34.633 34.114 38.375 55.746 37.122 19.007 26.157 30.838 35.35 43.002 39.012 37.203 38.062 25.92 37.115 34.127 52.477 36.257 44.217 48.637 45.465 46.66 37.182 41.577 37.425 32.085 40.748 40.566 34.94 35.985 42.298 38.73 35.044 39.984 32.293 36.111 36.635 34.295 33.388 32.57 33.758 35.811 45.313 39.855 32.799 33.26 32.442 38.563 35.303 33.374 37.487 37.915 34.745 37.825 41.707 36.813 44.694 36.94 32.751 32.778 37.106 34.92 31.509 36.067 36.82 31.941 31.425 31.903 36.371 39.081 35.44 34.34 36.126 35.238 34.393 36.65 30.764 36.059 32.508 36.374 36.059 32.511 43.713 36.503 31.876 34.701 32.603 32.855 29.893 36.247 30.414 30.728 38.79 31.448 31.915 37.594 33.75 33.56 31.831 31.711
"1419" 6 1 1 1 4 5 9.984 8.597 15.626 21.427 22.82 20.387 23.707 25.45 20.867 21.334 27.297 21.475 15.942 21.957 26.776 30.768 30.206 30.025 33.52 28.702 30.81 33.508 30.006 29.529 31.597 33.882 33.386 29.987 26.929 31.541 30.116 31.251 33.458 35.413 36.672 38.786 35.554 33.032 36.006 34.317 18.009 21.77 23.247 27.144 31.569 29.344 20.951 16.805 16.403 18.15 15.771 16.597 17.347 19.062 21.019 20.99 20.771 18.258 16.625 17.366 12.991 15.731 15.993 14.931 14.665 15.543 15.269 16.097 15.366 15.317 16.825 18.428 17.237 16.978 15.72 10.793 1.676 6.46 16.077 16.253 16.73 16.084 16.13 16.035 16.751 16.575 16.133 15.919 16.467 17.238 16.454 16.284 15.05 14.59 16.448 16.403 15.421 14.294 16.624 16.179 16.177 16.731 17.188 16.821 11.237 15.923 13.489 15.405 14.181 13.504 17.062 15.504 14.622 14.458 16.672 14.271 14.145 15.282 14.039 13.398 14.327
"1422" 3 2 1 1 4 5 27.061 20.465 19.395 26.762 28.478 28.236 29.661 25.973 25.103 28.631 34.07 24.703 31.56 29.327 32.633 22.991 38.814 34.23 31.891 34.584 34.551 31.828 23.252 28.287 31.197 30.816 26.397 26.76 30.313 27.223 28.291 22.798 35.001 26.605 29.111 35.519 27.94 41.789 32.929 40.059 33.142 27.109 25.637 23.41 14.24 27.877 39.727 28.064 29.402 29.23 25.875 26.511 27.43 28.592 31.426 30.212 29.11 25.356 28.631 25.527 25.472 28.717 26.782 29.646 25.981 28.476 29.105 26.446 25.294 28.978 29.352 29.023 26.06 25.573 31.651 25.397 29.948 30.423 28.031 26.739 27.062 27.419 28.352 28.778 27.08 29.293 27.344 26.08 27.896 28.861 29.257 27.653 26.513 27.165 24.521 27.041 25.454 27.868 31.54 25.693 28.971 26.215 27.414 25.138 26.9 30.323 24.913 26.727 26.658 25.907 26.617 28.71 27.173 28.37 30.841 26.624 26.777 27.572 25.897 24.252 27.268
"1524" 4 2 1 1 4 2 20.381 23.075 19.535 18.768 22.482 23.031 25.83 23.929 29.445 25.661 38.929 27.919 39.465 34.189 25.133 34.872 34.198 46.5 29.173 25.553 33.231 29.878 31.76 23.982 27.861 30.491 38.965 18.724 32.552 35.353 41.288 32.375 32.733 33.845 30.087 36.086 38.441 41.494 54.358 57.519 64.257 50.3 48.68 46.7 35.213 47.826 44.743 31.402 31.102 34.125 36.747 21.699 21.277 22.799 22.902 23.649 24.08 22.734 24.682 19.254 21.427 22.612 18.176 20.981 21.418 18.251 16.962 19.129 23.047 20.946 19.611 21.672 20.295 21.652 19.899 19.071 18.252 20.422 21.568 21.08 17.677 18.96 24.901 20.288 19.394 23.012 23.743 20.495 20.71 21.414 23.2 19.339 20.041 20.126 20.425 18.341 22.663 25.559 19.466 19.28 23.138 18.053 20.767 19.162 18.644 19.206 19.705 19.943 17.134 18.04 19.676 20.002 21.709 25.919 24.253 19.045 20.142 17.14 15.92 18.361 17.19
"1564" 3 2 1 1 4 5 47.428 55.429 50.573 44.669 37.78 34.107 37.085 49.473 54.14 36.732 45.703 33.705 33.697 57.653 36.604 53.636 37.186 41.955 48.492 43.904 42.452 47.511 60.574 38.418 33.602 33.473 44.14 53.291 48.26 46.271 47.132 37.62 35.22 43.97 35.461 48.737 42.952 42.792 54.916 70.433 75.652 69.846 48.885 49.092 51.185 52.952 58.459 44.016 42.621 38.317 47.644 41.742 42.761 37.044 33.441 35.935 40.301 34.268 38.266 36.603 42.25 38.649 38.169 41.365 42.389 48.511 41.697 41.62 43.452 36.395 37.512 37.069 35.969 39.652 34.102 36.105 38.739 42.313 37.587 43.585 37.798 40.92 36.825 36.27 38.352 38.76 35.464 36.999 33.356 34.159 32.184 33.963 44.244 35.328 41.235 40.804 39.755 35.728 36.209 35.909 36.21 36.254 37.138 33.8 34.283 42.473 38.136 33.541 37.424 43.094 35.794 35.797 38.225 35.242 37.85 32.843 40.523 35.274 42.522 36.478 41.866
"1572" 4 2 1 2 4 5 7.735 7.066 7.117 7.271 8.172 7.414 7.238 8.436 7.167 7.129 6.906 7.45 7.591 6.574 7.891 8.005 7.11 7.234 7.838 7.306 9.14 7.928 7.553 7.49 7.269 8.688 7.416 6.937 8.096 7.244 7.027 7.492 8.332 8.044 12.379 8.123 11.457 11.367 15.708 16.426 16.917 8.653 8.251 7.206 6.645 7.957 8.582 11.252 10.887 11.053 7.113 6.52 7.146 6.83 13.371 14.73 8.216 8.215 6.775 7.01 6.553 7.367 6.63 7.669 7.071 7.165 7.066 7.249 7.185 6.516 8.094 6.865 6.973 6.957 6.915 6.993 6.467 7.681 7.166 7.053 6.956 6.982 7.197 6.277 7.721 7.179 7.027 6.869 6.935 6.786 7.702 7.239 7.077 7.055 7.092 6.755 7.015 6.029 7.683 7.064 6.952 7.87 6.775 7.914 6.082 7.468 7.015 6.797 8.558 6.632 7.175 6.249 7.61 6.96 6.618 6.467 6.337 6.62 5.836 7.215 6.8
"1579" 4 4 1 2 4 4 43.543 32.388 36.034 31.227 35.85 45.239 47.362 49.695 40.275 37.314 46.79 41.586 33.966 62.219 58.581 46.254 49.663 46.584 44.959 44.916 36.375 43.953 34.008 52.838 40.402 44.112 29.439 41.944 51.351 49.659 45.382 45.441 48.121 34.296 49.366 44.931 40.4 60.632 58.849 73.115 68.655 59.293 58.86 31.979 56.397 45.48 43.211 30.683 33.94 29.865 31.977 29.119 30.406 40.389 34.276 32.885 30.763 30.774 32.031 34.137 33.915 36.575 31.532 29.549 32.103 30.678 30.348 34.289 30.158 33.362 29.733 30.883 30.509 33.552 33.628 29.799 33.011 33.559 29.725 29.434 32.239 31.013 34.19 28.408 29.04 30.544 32.617 31.264 34.861 31.134 28.322 29.984 32.906 34.922 29.415 34.505 34.109 31.948 36.243 29.455 30.042 28.789 30.067 31.482 30.581 34.069 27.897 34.933 30.425 37.174 30.848 32.49 31.74 30.215 28.539 36.243 31.94 31.573 33.049 30.416 32.909
"1588" 6 2 1 1 4 4 23.802 18.216 30.68 21.415 18.02 36.409 24.985 26.58 22.747 26.114 21.086 14.149 32.516 16.593 28.236 22.207 19.261 21.374 25.099 30.43 31.294 17.631 22.665 31.487 18.132 25.761 21.001 23.96 28.573 28.272 26.135 18.323 23.827 24.057 25.214 31.819 25.282 23.906 33.45 24.748 17.298 24.065 39.692 20.645 23.762 19.535 23.676 16.803 18.136 21.001 18.081 18.606 18.66 17.467 18.541 17.603 18.959 18.441 21.328 17.871 17.855 19.196 20.618 19.695 21.751 18.932 18.633 17.743 18.7 21.494 17.69 25.701 17.346 17.967 21.939 18.602 16.934 17.981 25.995 19.103 22.875 19.296 18.873 18.642 17.745 21.788 21.357 18.228 17.587 17.225 17.494 21.878 21.245 17.583 17.267 20.312 17.653 17.621 21.924 20.639 17.938 17.434 21.158 17.823 17.822 18.296 18.183 17.479 22.245 21.038 20.357 17.075 22.287 20.682 16.885 16.479 18.124 20.664 16.89 16.745 16.684
"1591" 5 2 1 1 2 2 15.107 18.345 19.033 16.787 18.092 25.988 29.267 16.204 21.397 18.179 20.487 21.4 28.935 21.918 22.809 17.904 23.561 16.293 22.212 23.85 26.189 17.484 22.203 15.385 17.891 18.127 18.76 31.154 17.08 20.273 17.584 12.706 21.078 23.399 30.745 17.971 18.464 20.322 15.875 24.115 34.255 39.92 19.761 22.859 18.402 19.934 22.064 14.565 13.873 15.479 16.315 11.816 15.386 12.944 14.546 18.403 15.187 12.818 12.982 11.509 14.009 12.758 13.922 14.436 13.854 13.51 13.326 13.692 11.59 15.33 14.807 12.795 11.035 15.382 14.102 12.619 15.559 11.558 15.082 13.583 12.737 15.68 15.6 12.857 12.519 13.136 12.287 13.168 14.455 13.194 13.69 13.414 13.911 12.13 12.02 11.856 14.354 15.091 13.106 11.492 14.866 12.209 14.519 12.115 15.036 13.691 14.397 11.534 11.655 12.921 13.736 13.079 12.526 14.014 11.226 11.992 13.883 12.506 13.078 11.258 13.156
"1610" 5 2 1 2 5 4 15.121 14.731 15.722 15.228 11.17 14.612 20.64 19.749 23.002 22.226 14.979 21.577 28.28 21.617 24.552 22.915 18.717 22.819 27.142 16.225 12.732 23.557 25.622 22.151 21.144 19.693 18.685 20.838 20.486 13.363 21.356 15.138 15.153 18.663 12.979 28.302 25.043 34.763 29.728 44.787 47.208 20.864 18.439 15.807 29.485 21.188 18.188 18.69 18.08 19.581 20.252 18.923 22.124 17.34 19.042 20.135 17.967 21.589 17.876 19.849 18.079 17.4 19.007 21.194 18.474 20.665 20.795 28.722 24.135 18.38 19.451 22.084 17.539 18.474 16.855 17.299 17.822 17.687 17.738 20.579 17.292 17.308 19.904 18.393 23.25 17.376 17.2 17.34 21.151 19.7 17.862 20.224 18.976 17.671 15.797 20.794 16.796 17.114 19.843 19.855 18.036 17.712 19.224 18.283 16.806 16.713 18.748 16.798 16.956 16.826 19.956 21.764 18.767 18.792 19.096 17.508 18.573 16.559 15.543 17.665 16.504
"1661" 4 2 1 1 4 5 19.85 34.998 29.138 21.179 27.275 37.649 42.351 42.121 44.659 40.741 25.759 26.771 41.4 44.406 43.355 39.744 53.729 38.099 36.341 26.67 36.397 53.305 36.248 21.534 28.907 29.038 32.448 40.648 30.531 47.352 42.17 29.053 24.431 35.217 46.863 43.73 65.762 42.204 25.584 33.022 15.352 37.335 20.853 24.02 19.494 29.285 30.292 20.473 20.425 31.51 45.887 32.15 33.544 32.429 31.807 48.397 67.483 28.566 38.276 31.475 28.431 30.266 50.058 26.289 30.522 29.33 23.658 26.469 23.796 31.376 24.77 29.475 28.135 29.539 25.869 24.62 29.7 37.053 33.837 26.279 25.585 29.775 32.559 30.388 26.281 26.706 26.503 33.354 28.41 23.335 31.462 38.919 36.929 21.445 24.603 23.844 26.686 25.572 22.232 24.897 26.345 30.221 25.096 25.875 26.806 21.976 27.365 24.124 27.16 23.404 34.528 36.949 27.572 26.025 24.786 24.015 21.763 23.87 25.13 20.269 28.616
"1682" 3 3 1 1 4 4 50.072 55.726 56.012 46.22 57.466 62.781 62.511 61.929 56.982 41.221 41.071 60.457 74.401 64.206 64.817 67.612 57.69 56.543 54.848 49.684 54.828 67.936 75.461 42.711 69.694 45.65 63.445 38.925 68.292 62.782 49.267 52.496 52.493 78.022 108.609 84.84 75.772 52.795 54.432 78.68 59.838 64.679 74.524 62.622 59.769 68.185 46.499 48.564 36.696 33.433 29.562 35.25 36.859 33.946 35.164 37.414 40.855 46.031 44.355 37.68 36.967 41.625 40.149 36.739 38.763 39.013 35.625 28.89 40.879 33.619 38.523 43.567 41.014 36.382 36.996 30.495 34.028 37.533 34.638 39.926 29.453 45.991 31.707 38.062 35.877 39.042 43.033 40.692 34.325 36.232 42.974 39.2 33.224 33.663 35.8 28.874 33.868 29.216 26.755 41.804 39.123 31.596 29.324 38.417 35.056 33.85 34.815 34.18 32.774 31.177 32.234 33.538 33.777 33.65 31.045 31.103 27.965 33.422 26.441 29.709 31.777
"1698" 6 2 1 1 4 2 11.098 9.117 8.587 12.334 10.071 11.501 11.08 14.174 10.253 9.71 9.932 9.126 10.432 8.755 9.83 11.103 10.854 11.922 12.273 10.662 13.439 10.887 8.933 12.888 12.268 9.791 9.918 13.535 10.844 8.999 10.364 10.482 12.049 10.776 10.579 14.039 11.593 12.195 10.904 10.411 7.252 10.721 10.665 11.107 11.294 12.011 14.202 9.521 9.687 10.108 9.238 9.925 10.421 8.978 9.59 10.064 8.968 9.267 9.092 8.526 8.266 8.673 9.835 10.231 9.462 9.547 8.908 9.247 8.903 8.96 8.719 8.4 9.045 9.046 8.996 8.452 9.102 8.86 9.418 9.086 9.188 8.12 9.674 8.936 9.267 9.05 8.628 8.826 8.933 9.344 8.622 9.209 10.087 8.612 10.134 9.774 9.399 9.975 10.123 9.678 9.219 10.283 8.621 10.096 8.503 8.773 8.946 9.142 8.343 8.4 9.185 9.242 9.113 8.62 8.964 8.656 9.125 8.25 8.913 9.102 9.759
"1750" 2 1 1 1 5 5 32.855 59.97 34.515 33.053 33.909 34.566 45.517 39.228 55.272 43.941 44.427 38.703 31.35 71.199 36.01 49.157 40.552 52.901 37.419 48.688 51.249 45.233 46.667 34.854 33.451 37.924 51.057 54.123 39.936 64.084 33.59 37.223 35.973 49.716 62.708 63.065 59.461 39.304 30.852 46.309 54.574 62.356 44.851 49.208 30.205 32.991 35.638 25.447 41.047 26.665 29.073 28.485 41.025 33.231 31.65 30.983 27.39 27.769 27.39 33.681 36.643 31.685 35.29 30.989 37.544 33.64 33.5 29.864 35.649 36.342 30.689 24.883 40.177 35.08 31.944 34.419 33.354 27.843 30.795 28.938 26.768 25.452 42.253 32.274 35.552 39.661 30.377 37.549 34.826 31.75 37.251 30.881 32.043 32.396 32.214 31.853 31.809 26.552 31.737 33.166 30.379 34.552 37.289 29.501 36.898 23.696 22.157 22.329 22.265 22.246 22.292 22.179 21.975 32.305 31.849 27.321 32.335 29.739 26.21 29.551 35.284
"1801" 3 2 1 1 3 4 15.592 20.804 16.588 21.717 22.154 17.498 20.231 18.329 19.525 17.671 20.603 22.077 23.001 23.287 22.077 30.086 27.757 33.544 31.418 41.358 29.39 23.555 21.209 31.014 23.259 26.568 30.234 20.762 20.899 22.636 27.344 23.369 34.984 31.378 31.66 25.497 42.164 31.571 29.356 25.989 38.963 44.286 19.482 25.313 26.637 22.383 27.848 10.911 9.687 8.361 9.915 11.47 12.201 11.681 9.756 11.137 8.443 14.341 9.454 12.468 13.186 10.287 11.283 9.275 9.767 11.832 11.37 10.976 10.513 10.518 10.01 10.198 9.818 10.306 12.257 9.121 10.562 8.987 13.685 11.652 10.957 10.821 11.683 10.064 8.15 10.207 10.913 10.929 10.943 10.76 8.523 9.335 10.673 12.457 12.987 12.94 13.369 9.367 10.597 14.264 10.585 9.867 10.983 10.282 9.505 7.729 13.835 13.13 9.616 11.62 12.513 9.185 10.467 9.989 11.924 10.626 13.018 12.021 9.757 8.206 8.463
"1813" 3 2 1 1 3 5 27.048 36.335 20.23 27.086 46.825 33.199 27.002 26.678 26.776 38.677 36.74 26.454 48.994 34.514 22.987 33.589 45.551 43.763 31.241 36.569 42.865 35.141 32.505 50.879 30.613 23.845 35.562 27.683 39.268 38.237 45.132 24.375 41.396 49.617 42.959 38.321 50.565 35.465 32.965 41.904 35.326 32.125 65.552 32.045 22.432 47.278 67.942 16.763 25.065 18.522 25.782 26.765 20.867 17.409 24.418 18.512 14.51 20.657 18.89 24.779 17.996 20.231 22.088 22.943 20.42 21.586 23.289 16.863 23.127 18.825 16.261 16.045 12.118 11.535 13.261 16.309 16.884 21.709 19.313 17.517 15.927 16.374 18.289 13.403 12.361 20.571 17.976 13.619 20.621 16.506 21.73 15.495 16.937 20.971 19.54 15.094 22.237 17.008 18.909 19.076 20.483 20.241 25.81 21.917 17.835 29.372 15.406 14.737 14.709 13.482 12.203 17.405 15.977 17.057 12.292 15.329 14.828 16.159 10.495 13.374 15.763
"1815" 5 2 2 2 3 4 31.126 18.802 12.397 16.145 14.378 11.926 16.481 13.584 15.526 13.928 15.008 16.176 17.045 32.89 21.469 29.469 14.083 19.378 23.065 19.788 23.842 21.948 17.506 15.941 18.715 15.651 16.589 18.548 17.377 13.419 17.078 14.054 14.706 11.675 20.022 22.921 16.183 11.213 14.542 20.643 44.493 33.297 26.149 24.727 17.743 15.84 14.483 15.302 13.175 13.917 12.075 11.855 11.49 12.618 16.408 12.985 14.975 11.239 10.26 11.179 12.406 12.121 10.775 16.843 11.596 11.158 12.392 13.242 11.135 11.471 17.763 13.295 12.725 10.916 13.083 11.49 12.068 15.47 10.971 13.838 10.231 14.042 10.938 13.126 12.355 13.119 12.532 12.361 10.773 12.393 10.959 17.144 13.414 11.503 12.393 11.069 10.52 10.112 14.101 15.202 13.667 11.534 15.545 11.984 10.091 10.991 11.965 10.518 10.315 16.117 11.283 10.723 14.605 13.759 11.045 10.574 11.673 11.574 15.559 13.698 10.62
"1820" 2 3 2 2 3 4 11.828 16.277 16.581 18.93 18.297 20.894 17.226 12.415 12.216 12.698 17.265 11.896 20.003 14.893 13.103 17.915 14.987 9.636 11.184 12.836 11.77 8.763 12.311 15.136 14.993 11.945 16.598 17.807 13.086 16.708 15.676 15.473 16.122 16.34 12.273 23.474 51.526 53.343 45.165 50.476 45.6 54.767 35.279 18.079 34.339 37.554 35.957 13.287 13.576 14.619 16.41 14.95 14.307 13.916 14.111 14.312 16.204 14.952 14.615 16.252 16.771 14.643 15.301 12.817 16.67 15.411 15.304 13.857 17.913 16.199 13.149 15.174 15.586 16.202 14.99 15.673 14.424 17.883 15.135 17.433 18.486 13.798 14.892 19.44 14.792 16.91 15.473 14.185 12.945 15.738 16.744 14.071 14.087 17.043 16.731 13.294 15.558 15.957 19.195 14.722 18.139 15.529 17.462 16.38 18.331 17.766 16.583 28.386 17.835 16.959 16.583 17.842 17.628 15.744 16.114 16.842 16.2 17.013 18 14.942 17.687
"1830" 3 1 1 1 4 4 26.893 18.862 17.367 29.496 17.861 30.948 37.511 32.348 16.329 29.739 27.983 22.337 31.751 32.785 40.754 30.621 23.227 32.18 33.692 41.983 25.587 22.839 23.18 23.296 29.624 20.974 34.243 44.725 44.768 34.153 40.902 38.245 23.203 57.465 57.363 48.778 30.163 50.592 29.805 67.928 52.413 62.279 38.052 37.424 46.864 40.979 57.324 70.242 30.094 30.918 21.154 27.943 27.647 19.991 21.149 31.102 21.935 18.765 26.17 19.332 18.743 21.048 20.548 18.782 22.341 25.489 23.515 21.92 24.615 22.793 20.325 19.338 18.034 24.641 19.774 21.311 22.901 23.321 26.772 18.237 22.61 20.206 28.463 24.567 20.066 18.68 17.663 17.728 17.964 16.997 20.04 19.93 18.762 16.699 17.82 18.115 25.06 22.831 23.274 19.675 17.101 16.539 18.121 31.457 18.335 18.646 19.788 24.883 17.525 16.32 20.596 22.973 21.231 18.859 16.362 17.365 16.388 18.35 25.979 21.792 17.096
"1837" 5 1 4 1 3 5 13.264 20.68 15.473 16.421 13.997 26.38 18.363 18.427 14.814 20.7 13.648 17.132 19.701 17.364 16.871 18.804 19.429 18.483 21.526 27.252 15.034 20.556 21.05 22.398 18.578 12.589 24.512 21.18 16.247 18.747 14.964 17.577 20.135 22.491 37.082 25.888 23.822 21.642 21.149 17.552 14.882 22.294 18.865 20.071 18.1 18.765 20.853 14.79 12.75 12.458 15.195 10.076 10.459 11.759 10.263 15.141 10.716 13.924 12.283 11.409 12.786 10.309 18.513 12.634 12.967 11.046 10.42 15.003 11.772 16.314 9.731 10.827 12.593 10.252 9.288 11.987 9.539 11.023 9.286 9.819 9.974 9.792 12.888 15.023 11.296 10.402 9.827 11.653 9.487 13.714 11.693 10.22 10.309 12.355 10.445 8.785 9.497 11.766 11.848 10.505 13.944 8.817 10.824 10.232 11.623 10.228 10.993 10.796 10.461 10.553 9.738 12.427 10.611 10.032 10.522 11.499 9.562 9.431 11.771 9.431 10.84
"1872" 5 2 2 2 3 4 21.228 17.25 15.631 17.855 18.962 22.389 14.213 14.985 15.585 11.469 17.745 19.125 10.388 28.285 19.713 16.789 15.916 11.053 11.043 19.909 13.568 14.808 11.094 16.685 17.378 24.659 25.367 22.795 35.552 20.233 17.435 20.383 15.654 29.447 21.622 29.255 23.716 23.149 30.239 43.991 42.687 33.384 56.213 37.653 22.67 27.249 23.191 26.421 21.784 24.742 16.145 18.24 23.598 18.244 16.699 22.005 20.51 15.932 14.468 16.05 24.819 14.592 16.439 15.645 13.82 18.851 16.798 22.966 19.003 17.061 15.504 13.067 17.197 12.713 19.746 14.603 16.962 19.333 13.092 14.833 17.253 20.64 14.721 19.366 15.714 20.922 21.574 17.28 16.855 20.021 21.878 22.231 19.857 18.328 16.235 11.664 16.393 18.745 20.042 18.708 19.386 16.159 10.681 12.604 24.941 31.863 28.244 16.191 19.117 16.253 19.566 17.602 19.909 18.245 23.009 20.1 16.35 17.588 21.909 19.963 14.017
"1875" 6 4 1 1 4 5 22.262 24.661 27.22 18.288 37.985 49.731 33.36 25.769 23.991 20.864 14.646 34.986 38.563 24.741 18.8 20.728 26.974 15.336 25.903 36.963 22.997 31.5 22.966 18.853 24.242 26.189 28.831 24.197 23.657 24.845 20.938 25.059 36.552 32.709 24.91 25.307 32 30.638 25.312 28.551 41.869 31.816 30.172 43.1 35.525 36.464 10.387 26.323 21.489 22.451 22.076 21.7 24.665 22.15 21.931 22.181 22.18 22.87 20.755 21.422 20.978 22.515 21.374 20.892 18.22 19.352 20.933 22.387 21.681 22.568 22.513 18.244 23.579 21.031 21.084 21.887 21.102 21.46 19.038 22.371 19.105 18.919 21.142 27.373 23.656 22.555 20.805 23.135 23.038 23.207 21.093 18.032 22.229 24.851 20.453 22.597 21.557 23.422 24.588 20.586 20.92 22.481 27.805 25.257 23.831 22.677 23.046 22.604 22.354 21.96 16.784 16.223 16.382 18.198 18.564 20.887 22.496 19.392 20.809 18.427 21.058
"1909" 4 2 1 1 2 5 16.356 15.74 12.035 16.024 8.973 9.116 25.289 13.368 18.458 9.753 14.939 10.852 9.551 17.203 11.601 11.682 13.309 11.712 9.749 10.453 23.762 17.809 13.029 12.023 11.501 16.688 10.49 21.4 14.3 18.508 12.563 16.55 14.539 14.199 23.446 21.184 15.65 16.122 14.77 17.425 27.999 16.362 18.381 11.493 14.017 10.572 12.03 15.62 16.842 15.459 16.108 15.986 19.673 16.34 16.829 16.86 15.507 15.942 16.397 15.384 16.502 16.146 15.203 17.514 15.096 15.815 15.699 15.689 16.228 19.208 14.892 16.055 16.704 15.238 16.391 16.889 16.86 15.163 16.298 17.616 15.565 15.434 16.781 18.409 15.64 15.801 17.671 16.282 15.988 16.191 16.537 16.565 17.509 15.991 16.744 16.282 17.155 17.658 15.065 18.272 15.397 17.132 15.061 15.838 17.043 15.908 15.431 17.411 16.074 14.704 15.955 15.051 16.082 15.976 15.644 17.93 18.187 15.253 17.746 17.988 14.941
